,JD,JDAI,residual_aperture_sum_1,residual_aperture_sum_2,residual_aperture_sum_3,ins_mag_1,ins_mag_2,ins_mag_3,diff_mag_1,diff_mag_2,diff_mag_3
32,211843517064.768,2451892.55862,12576.602359504672,94936.68360677,97906.08802999533,-23.59898352766312,-28.65241365007698,-28.729410031988728,5.130426504325609,0.07699638191174785,0.0
33,211843520684.928,2451892.60052,21364.0618239732,117938.36921613489,121716.82105121133,-24.92366358823581,-29.19479368056464,-29.273631216930376,4.349967628694564,0.07883753636573587,0.0
34,211843525056.768,2451892.65112,15879.188278981805,96913.42191161134,100422.06657104832,-24.181911543903816,-28.70393325326635,-28.79284312163616,4.6109315777323445,0.08890986836981085,0.0
35,211843529350.848,2451892.70082,17368.47128977903,116868.54497618292,118303.51241041758,-24.406029616784654,-29.1720125872886,-29.202521850577135,4.796492233792481,0.030509263288536204,0.0
36,211843533437.568,2451892.74812,13692.13154017672,115601.30193847729,118247.7811308548,-23.81144151671664,-29.14475624400142,-29.20134385489257,5.389902338175929,0.05658761089114961,0.0
37,211843534681.728,2451892.76252,20586.009555365657,120878.12023105961,125003.12462763902,-24.830917440636384,-29.25634511530756,-29.340235032482823,4.50931759184644,0.08388991717526295,0.0
38,211843537083.648,2451892.79032,19897.262533575995,118770.05841803848,120009.31044666417,-24.745843600308373,-29.212361551566755,-29.238311514524995,4.492467914216622,0.025949962958240036,0.0
39,211843538491.968,2451892.80662,18720.230776724056,114564.47701490216,121581.21613978897,-24.59340019443013,-29.12223265379762,-29.270844410118656,4.677444215688524,0.14861175632103496,0.0
40,211843540885.248,2451892.83432,21925.402284727606,117456.1718295847,120158.04215915914,-24.98850291323061,-29.184551343191888,-29.24140793312425,4.252905019893639,0.05685658993236231,0.0
41,211843551953.088,2451892.96242,18607.83590830234,111428.32192604139,115174.50677777268,-24.578345140945288,-29.05284202620671,-29.13550926855667,4.557164127611383,0.08266724234995948,0.0
42,211843579013.568,2451893.27562,17464.28008823775,125890.97855917076,127189.97282842803,-24.419782340339644,-29.35792890464696,-29.383592742039312,4.963810401699668,0.025663837392350786,0.0
43,211843580827.968,2451893.29662,12361.847345212649,110534.40264530451,101622.11414967134,-23.55592545357549,-29.032705219103754,-28.82254112348926,5.266615669913769,-0.21016409561449478,0.0
44,211843586530.368,2451893.36262,12303.843371382449,91104.68711962376,90892.80926578984,-23.544167404425636,-28.54941133048706,-28.54359042762404,4.999423023198403,-0.005820902863021615,0.0
45,211843598635.008,2451893.50272,10798.492050050409,111992.00041014096,113249.79942586832,-23.217904445921253,-29.06545680704224,-29.09337818067425,5.8754737347529975,0.027921373632011637,0.0
46,211843605132.288,2451893.57792,13150.012523217534,108596.72807315551,114627.20290832053,-23.71044497485348,-28.98849139447072,-29.12360106941824,5.4131560945647585,0.13510967494751824,0.0
47,211843623457.728,2451893.79002,14330.314068906766,117922.22291184479,120793.35758908471,-23.92533109365797,-29.19445139565452,-29.254591440314236,5.329260346656266,0.060140044659714675,0.0
48,211843625367.168,2451893.81212,14384.128125809773,118513.49521677551,123483.67560159724,-23.93470166048664,-29.206955291897344,-29.309660612374643,5.374958951888004,0.1027053204772983,0.0
49,211843630741.248,2451893.87432,15832.642263795598,103632.71965849446,106403.2745453479,-24.174572634762413,-28.87152096441043,-28.93747907804564,4.762906443283228,0.06595811363521165,0.0
50,211843633160.448,2451893.90232,11415.941214974737,103966.52032688714,106689.88144145522,-23.356915024473537,-28.879560515905965,-28.94420400235404,5.587288977880505,0.06464348644807671,0.0
51,211843635830.208,2451893.93322,14685.436644044355,104352.89104710659,106129.47370559268,-23.986528943019984,-28.888834043531183,-28.931037694459345,4.944508751439361,0.04220365092816181,0.0
52,211843638232.128,2451893.96102,15284.461340682697,103832.05801024544,108556.57352296589,-24.086479981656467,-28.87632511515191,-28.987566827578295,4.901086845921828,0.11124171242638425,0.0
53,211843643407.488,2451894.02092,14192.941138277121,122433.39651640563,117018.77850063163,-23.901250042636235,-29.288306148001368,-29.17522425226636,5.273974209630126,-0.11308189573500727,0.0
54,211843650811.968,2451894.10662,17104.785811316688,124109.37535187264,121853.75776601426,-24.367783938351778,-29.32229628772695,-29.27644224463937,4.908658306287592,-0.04585404308758001,0.0
55,211843654967.808,2451894.15472,16513.16595908109,117963.70182587352,113631.28883164347,-24.279783196550664,-29.19533061120124,-29.101785443003415,4.822002246452751,-0.09354516819782432,0.0
56,211843662588.288,2451894.24292,19484.62084102875,124353.89880709315,125779.40882105462,-24.69345189641299,-29.3272170055874,-29.35571231995882,4.662260423545828,0.028495314371419056,0.0
57,211843662631.488,2451894.24342,17250.685722959228,122091.3567538397,119188.96130730229,-24.389017934312555,-29.281312173340872,-29.221163557106948,4.832145622794393,-0.0601486162339242,0.0
58,211843667314.368,2451894.29762,22021.92818463291,116033.83308006503,110348.07650541834,-24.999484928986064,-29.15409273011501,-29.028487451700972,4.029002522714908,-0.12560527841403868,0.0
59,211843670804.928,2451894.33802,16494.274514725374,125109.5426433584,124340.8098401681,-24.276921501407497,-29.342362434171477,-29.32695385228172,5.050032350874222,-0.015408581889758466,0.0
60,211843672109.568,2451894.35312,14854.449850656907,120964.65333903395,117419.51728426939,-24.015136881466674,-29.258134151845425,-29.18377104647938,5.168634165012705,-0.07436310536604651,0.0
61,211843675945.728,2451894.39752,18987.63754183051,120596.39614439692,120430.11986536614,-24.62885847671792,-29.2505117002807,-29.24706236391387,4.61820388719595,-0.0034493363668310906,0.0
62,211843677872.448,2451894.41982,18200.852210437297,121646.64361728128,121610.11590924213,-24.52305924179486,-29.27218939336062,-29.271438587743035,4.748379345948173,-0.0007508056175851152,0.0
63,211843678053.888,2451894.42192,21745.129418871482,123040.40771784843,129132.83595298015,-24.96786269168792,-29.300670246089023,-29.421492223997294,4.453629532309375,0.1208219779082711,0.0
64,211843685389.248,2451894.50682,17980.222018788336,112897.92927311367,114868.431139061,-24.49256914011653,-29.085598521804165,-29.128856688345,4.63628754822847,0.04325816654083425,0.0
65,211843688819.328,2451894.54652,18515.318741322262,100608.55908206385,106154.68455658341,-24.565884271254603,-28.797481533418143,-28.93163149409365,4.3657472228390475,0.13414996067550788,0.0
66,211843693156.608,2451894.59672,18530.102161902527,106923.36473552464,110902.15389426122,-24.567879581471708,-28.949669098532024,-29.041008987749777,4.473129406278069,0.09133988921775327,0.0
67,211843697364.288,2451894.64542,7974.419634216465,66510.5587886284,68932.3720444974,-22.459985379664875,-27.76278998204074,-27.85220296913797,5.392217589473095,0.08941298709723,0.0
